county,state,county_state,cfips,venturedensityoct18,venturedensityjan19,venturedensitymar20,venturedensityfeb20,venturedensityjan20,venturedensitydec19,venturedensitynov19,venturedensityoct19,venturedensitysep19,venturedensityaug19,venturedensityapr18,venturedensityjul20,venturedensityjun20,venturedensitymay20,venturedensityapr20,venturedensityaug20,venturedensitysep20,highlyactivemar20,highlyactivefeb20,highlyactivejan20,highlyactivedec19,highlyactivenov19,highlyactiveoct19,highlyactivesep19,highlyactiveaug19,highlyactiveoct18,highlyactivejan19,highlyactiveapr18,highlyactivejul20,highlyactivejun20,highlyactivemay20,highlyactiveapr20,highlyactiveaug20,highlyactivesep20,unemployment2018,population,change_income16_18,pctbroadband,pctblack,pctnative,pctasian,pcthispanic,pctagriculture,pctconstruction,pctwholesale,pctretail,pcttransportation,pctinformation_tech,pctfinance,pctprofessional,pcteducation,pctpublic,pcthighschool,pctcollege,pctmillennial,pctgenx,pctbabyboomer,net_migration,pctforeignborn,prosperityindex2018,change_prosperity_07_18,medinc2018,medinc2017,medinc2016,prosperityindex2016,change_prosperity_07_16
Chilton,Alabama,"Chilton County, AL",1021,1.015587568,0.928863227,1.07036078,1.040691972,1.093183041,1.07036078,1.088618517,1.08177197,1.022434235,1.058949709,0.319510698,1.111440778,1.104594111,1.088618517,1.10231185,1.097747445,1.068078637,0.221375272,0.214528605,0.239633024,0.191706419,0.180295318,0.175730884,0.159755349,0.18714197,0.159755349,0.141497597,0.153749883,0.207681954,0.207681954,0.23050414,0.246479675,0.216810822,0.212246388,6.699999809,43817,2588,43.39999771,10.00981331,0.305817366,0.435903847,7.624894142,3,12.69999981,2.5,12.89999962,7.800000191,0.899999976,5.699999809,7.699999809,16.10000038,6.199999809,80.09999847,14.89999962,19.29999924,26.29999924,22.10000038,-188,0.050619621,44.53193283,14.95598984,45182,43501,42594,33.68425751,4.108314514
Choctaw,Alabama,"Choctaw County, AL",1023,0.820350707,0.654775321,0.790246129,0.77519381,0.752615333,0.730036855,0.722510695,0.737563014,0.722510695,0.707458436,0.436516911,0.835403025,0.842929184,0.865507662,0.805298388,0.835403025,0.835403025,0.090313837,0.097839996,0.105366148,0.105366148,0.082787685,0.082787685,0.082787685,0.090313837,0.075261533,0.030104613,0.125368088,0.120418452,0.105366148,0.105366148,0.090313837,0.1128923,0.1128923,9.800000191,13287,2262,44,42.22924805,0.015052306,0.045156922,0.55693537,8.300000191,8.5,1.100000024,12.5,6,1.899999976,2.599999905,4.699999809,25.10000038,2.200000048,78.90000153,12,15.60000038,25.89999962,26.90000153,-398,0.003763077,41.61953354,13.46665573,34884,32122,32622,24.96421051,-3.188667297
Clarke,Alabama,"Clarke County, AL",1025,0.885418773,0.474906415,0.482955694,0.466857165,0.446734011,0.434660107,0.422586232,0.422586232,0.414536953,0.422586232,0.201231539,0.450758636,0.438684762,0.438684762,0.458807915,0.458807915,0.446734011,0.120738924,0.116714291,0.112689659,0.108665027,0.092566505,0.092566505,0.084517248,0.084517248,0.221354693,0.144886702,0.207298696,0.116714291,0.116714291,0.120738924,0.120738924,0.116714291,0.116714291,15.19999981,24847,3392,39.09999847,45.49442673,0.032197047,0.458807915,0.173059121,3.900000095,6,1.200000048,15.5,7.199999809,1.600000024,3.900000095,6.800000191,16.79999924,4.699999809,81,12.10000038,17.10000038,26.29999924,23.79999924,-606,0.004266108,18.77645111,9.965370178,36127,33827,32735,18.2596817,9.448600769
Clay,Alabama,"Clay County, AL",1027,1.060594797,3.033449411,2.729362965,2.729362965,2.714529514,2.684862375,2.684862375,2.699695826,2.67744565,2.6922791,0.170585185,2.67744565,2.707112551,2.714529514,2.721946239,2.6922791,2.67744565,0.118667953,0.1260847,0.13350144,0.081584215,0.059333976,0.081584215,0.089000963,0.074167468,0.274419636,0.13350144,0.238303319,0.09641771,0.103834458,0.1260847,0.1260847,0.09641771,0.148334935,6.400000095,13483,2410,51.29999924,14.74449348,0.882592916,0,3.10761714,4.599999905,6.099999905,0.600000024,10.19999981,4.099999905,1.299999952,4.599999905,4.300000191,16.10000038,5.300000191,74.59999847,11.10000038,14.19999981,27,25.40000153,-20,0.019357709,44.76380157,24.61838531,41225,37287,38815,45.74732971,25.60191345
Cleburne,Alabama,"Cleburne County, AL",1029,0.873857677,1.080648422,1.194049716,1.214061737,1.160696387,1.174037814,1.120672345,1.120672345,1.134013772,1.127343059,0.353545457,1.187379122,1.180708408,1.194049716,1.200720429,1.200720429,1.200720429,0.273497432,0.280168086,0.293509454,0.266826749,0.240144089,0.226802751,0.260156095,0.260156095,0.23347342,0.280168086,0.181275427,0.220132083,0.226802751,0.28683877,0.28683877,0.206790745,0.200120077,7.800000191,14991,3872,39.90000153,2.361416817,0.140084043,0.57367754,2.328063488,5.599999905,12.19999981,2.200000048,13.80000019,6.400000095,0.400000006,3.299999952,4,18.79999924,4.5,74.19999695,11.5,16.10000038,27.10000038,24,222,0.016343139,27.53911591,14.96586609,40188,37396,36316,21.29103851,8.717788696
Coffee,Alabama,"Coffee County, AL",1031,1.664999723,1.804239988,2.029769897,2.029769897,2.019964218,2.002314091,2.018003225,2.019964218,1.976819396,1.967013836,0.67070657,2.078798294,2.090564966,2.070953608,2.055264711,2.061147928,2.041536808,0.411837369,0.431448698,0.437332064,0.411837369,0.415759653,0.425565302,0.390264958,0.411837369,0.325547636,0.396148354,0.313850611,0.425565302,0.423604161,0.441254348,0.431448698,0.419681907,0.396148354,6,50991,5283,62.40000153,17.00496292,0.82563591,1.221784234,6.558020592,2.900000095,4.900000095,1.600000024,13.69999981,6.800000191,1.200000048,3.599999905,7.5,22.5,9.199999809,85.09999847,23.70000076,18.60000038,27.10000038,21.39999962,123,0.037124198,44.41472626,-1.654491425,53155,49821,47872,42.31426239,-3.754955292
Colbert,Alabama,"Colbert County, AL",1033,1.6826967,2.144289017,2.265663862,2.239917517,2.278536797,2.241756678,2.256468773,2.289571047,2.234400511,2.2435956,0.833072782,2.295088053,2.265663862,2.267502785,2.258307695,2.28221488,2.260146856,0.55170387,0.557220876,0.568254948,0.535152733,0.527796686,0.529635668,0.525957644,0.555381894,0.384353697,0.474465311,0.375872821,0.516762614,0.514923573,0.559059918,0.553542852,0.503889501,0.485499382,6.900000095,54377,3772,52.10000229,15.64815903,0.603196204,0.424811929,2.401750803,0.899999976,6.099999905,2.599999905,13.19999981,5.900000095,0.699999988,5.800000191,8.699999809,19.89999962,3.599999905,83.40000153,18.5,17.70000076,25.90000153,24.60000038,-99,0.017636133,40.44234467,-3.146663666,47558,45477,43786,50.34630585,6.757297516
Conecuh,Alabama,"Conecuh County, AL",1035,0.535559595,1.291643739,1.394030094,1.457037091,1.48066473,1.504292369,1.559423447,1.583051085,1.567299366,1.622430444,0.567063093,1.606678724,1.630306363,1.433409452,1.386154175,1.69331336,1.68543756,0.228400409,0.283531547,0.283531547,0.244152158,0.267779797,0.275655657,0.267779797,0.283531547,0.055131134,0.196896911,0.047255259,0.228400409,0.196896911,0.228400409,0.244152158,0.236276284,0.21264866,14.5,12697,5568,30.60000038,46.21564102,0.149641648,0.110262275,1.764196396,6.800000191,7.300000191,2.700000048,15.39999962,7.300000191,1.700000048,3.099999905,2.400000095,17.89999962,4.199999809,79.40000153,8.699999809,16.20000076,24.29999924,27.10000038,-607,0.008112152,29.6437912,21.92094421,33177,30434,27609,6.448257446,-1.274589539
Coosa,Alabama,"Coosa County, AL",1037,0.469440341,0.046023563,0.027614139,0.027614139,0.027614139,0.027614139,0.027614139,0.027614139,0.036818851,0.036818851,0.027614139,0.027614139,0.027614139,0.027614139,0.027614139,0.018409425,0.018409425,0,0,0,0,0,0,0,0,0.073637702,0.009204713,0.085910648,0,0,0,0,0,0,11.30000019,10864,6391,43.5,32.36376953,0.073637702,0,1.288659811,1.100000024,5.699999809,1.799999952,7.199999809,11.39999962,1,4.5,9.699999809,18.70000076,6.599999905,72.90000153,9.899999619,15.19999981,28,28.60000038,89,0.005891016,34.92076111,16.42084503,38301,34792,31910,36.96033096,18.46041489
Covington,Alabama,"Covington County, AL",1039,1.105250597,1.200667977,1.264279485,1.261628985,1.280182362,1.269580483,1.280182362,1.28548336,1.277531862,1.258978486,0.498290449,1.293434739,1.256327987,1.256327987,1.256327987,1.29078424,1.277531862,0.233242333,0.24649474,0.254446179,0.227941364,0.238543302,0.227941364,0.22264041,0.212038487,0.219989926,0.214688972,0.243729487,0.227941364,0.225290895,0.241193771,0.241193771,0.219989926,0.212038487,10.69999981,37729,3288,48.99999619,12.97675514,0.344562531,0.466484666,1.531978011,6.400000095,7.900000095,2.299999952,11.10000038,8.199999809,1.299999952,4.099999905,9.399999619,17.70000076,5.099999905,80.90000153,14.89999962,17,24.79999924,25,205,0.007951443,27.05499268,-4.231033325,40601,39467,37313,27.63539886,-3.650627136
Crenshaw,Alabama,"Crenshaw County, AL",1041,0.755613148,1.381692529,1.669545174,1.691134095,1.763097286,1.784686208,1.799078822,1.813471556,1.432066798,1.468048334,1.324122071,1.381692529,1.381692529,1.633563638,1.640759945,1.417674184,1.403281569,0.237478405,0.259067357,0.251871049,0.230282098,0.230282098,0.237478405,0.215889469,0.237478405,0.15112263,0.223085776,0.127539903,0.251871049,0.266263664,0.244674727,0.244674727,0.251871049,0.244674727,6.400000095,13896,2255,45.19999695,23.67587852,0.885146737,1.669545293,1.683937788,5.099999905,7.599999905,4.300000191,11.10000038,4.5,1.299999952,5,6.900000095,19.5,7.5,78.30000305,14.60000038,15.89999962,26.5,24.40000153,237,0.020725388,29.17240906,-5.634223938,39812,38937,37557,38.8096199,4.002986908
Cullman,Alabama,"Cullman County, AL",1043,1.807762265,3.083034039,3.363421679,3.287175894,3.315460682,3.305622578,3.331447601,3.352353811,3.342515707,3.315460682,1.312164903,3.402774334,3.404004097,3.375719309,3.383098125,3.391706467,3.388017178,0.766146898,0.785823226,0.811648369,0.777214825,0.741551459,0.753849208,0.724334717,0.774755299,0.379999012,0.64316988,0.384301871,0.736632407,0.742781222,0.796891153,0.800580442,0.719415605,0.726794243,5.800000191,81316,3261,50.49999619,1.036696315,0.522652388,0.611195803,4.21319294,2.700000048,8.699999809,2.700000048,14.5,5,1.200000048,4.5,7.400000095,21,3.299999952,82.19999695,15,18.10000038,26.29999924,23.90000153,-350,0.027928082,36.74515533,-0.182926178,42558,40997,39297,45.20478058,8.276699066
Dale,Alabama,"Dale County, AL",1045,1.030096531,0.745862484,0.818432868,0.822464585,0.822464585,0.808353662,0.802306116,0.808353662,0.792226911,0.792226911,0.387042165,0.842622995,0.824480414,0.806337833,0.790211082,0.862781465,0.856733918,0.1491725,0.143124968,0.15925172,0.143124968,0.151188344,0.143124968,0.145140812,0.157235876,0.13909328,0.137077436,0.120685138,0.147156656,0.143124968,0.157235876,0.153204188,0.151188344,0.13909328,10.39999962,49607,1867,59.40000153,19.40250397,0.576531589,1.024049044,5.888281822,2.299999952,5.699999809,2.099999905,15.60000038,10,1.100000024,3.799999952,6.599999905,18.10000038,8.300000191,85.80000305,16.10000038,21,25,21.5,1039,0.028483883,38.68420029,-6.016956329,45960,44711,44093,42.03952408,-2.661632538
Dallas,Alabama,"Dallas County, AL",1047,0.878675222,0.053106744,0.053106744,0.055520687,0.067590401,0.057934631,0.057934631,0.062762514,0.060348574,0.057934631,0.021725487,0.0506928,0.0506928,0.053106744,0.053106744,0.0506928,0.053106744,0.009655772,0.009655772,0.009655772,0.012069714,0.009655772,0.009655772,0.009655772,0.009655772,0.195529372,0.002413943,0.190701485,0.009655772,0.009655772,0.009655772,0.009655772,0.009655772,0.009655772,13.69999981,41426,3466,46.40000153,69.49742126,0.219668791,0.393472701,0.95833528,3.400000095,6,1.299999952,11.69999981,4.099999905,0.699999988,3.5,5.900000095,23.60000038,6.400000095,79,13.80000019,18.29999924,24.10000038,23.20000076,-389,0.014193985,16.54437256,8.216415405,31602,30065,28136,19.88040924,11.55245209
DeKalb,Alabama,"DeKalb County, AL",1049,1.536574721,2.5656569,2.70944643,2.647419453,2.699578524,2.716495037,2.708036661,2.693939686,2.699578524,2.677023172,1.010756016,2.781341076,2.740459919,2.71226573,2.708036661,2.777112007,2.754556894,0.538505971,0.554012716,0.577977657,0.558241844,0.51454109,0.511721671,0.528638065,0.535686612,0.315773129,0.51454109,0.293578506,0.517360449,0.521589577,0.556832135,0.545554519,0.51454109,0.522999287,5.099999905,70937,985,50.70000076,1.477367282,1.28564775,0.301676124,14.01525307,3.900000095,7.300000191,2.5,13,5.099999905,0.699999988,3.099999905,4.300000191,16.39999962,4.099999905,72.59999847,11.39999962,18.20000076,26.59999847,22.20000076,526,0.074826956,33.90664673,20.11123657,39233,38842,38248,36.68559265,22.8901825
Elmore,Alabama,"Elmore County, AL",1051,1.919537544,3.648850679,4.040416718,3.981125832,4.051533699,4.062650681,4.044122219,4.058944702,4.057709694,3.976184845,1.553911328,4.157762527,4.105883598,4.046592712,4.031769753,4.275108814,4.267697811,0.858480453,0.880714476,0.920241594,0.868362188,0.860950887,0.879479229,0.88318491,0.898007572,0.39897722,0.810306728,0.383242756,0.849833846,0.839952052,0.885655344,0.889361024,0.849833846,0.853539526,7.300000191,80957,5949,69.69999695,21.11244202,0.202576682,0.564497173,2.801487207,0.899999976,8.100000381,2.599999905,10.69999981,4.5,1.399999976,6.099999905,8.5,19.70000076,12.19999981,86.80000305,22.20000076,20.29999924,28.20000076,21,758,0.018182492,48.07878876,0.242095947,59347,54981,53398,48.43468094,0.597988129
Escambia,Alabama,"Escambia County, AL",1053,1.233003259,0.084488451,0.084488451,0.081848182,0.081848182,0.081848182,0.081848182,0.081848182,0.07920792,0.081848182,0.013201321,0.092409238,0.084488451,0.084488451,0.084488451,0.092409238,0.09768977,0.013201321,0.013201321,0.015841585,0.015841585,0.015841585,0.021122113,0.023762377,0.023762377,0.253465354,0.018481849,0.250825077,0.010561056,0.013201321,0.010561056,0.013201321,0.010561056,0.010561056,13.69999981,37875,2666,35.5,32.33003235,3.46666646,0.105610557,2.059405804,2.299999952,6.400000095,2.099999905,11,8.300000191,1,4.5,5.300000191,17.89999962,7.800000191,80.5,11.60000038,18.5,26.90000153,22.20000076,-584,0.007841584,18.223526,-4.485809326,35000,35026,32334,15.8032074,-6.90612793
Etowah,Alabama,"Etowah County, AL",1055,1.694029808,1.172566533,1.146445036,1.134835482,1.148379922,1.146445036,1.190948367,1.186111093,1.189980984,1.184176207,0.490504324,1.170631647,1.159022093,1.159989595,1.149347425,1.179338813,1.177403927,0.237028718,0.245735899,0.260247856,0.238963649,0.231223941,0.228321552,0.232191399,0.24960576,0.315393329,0.245735899,0.309609622,0.221549302,0.214777052,0.253475606,0.255410552,0.237996191,0.241866052,7.599999905,103363,3545,58.80000305,15.28496552,0.400530159,0.676257432,3.629925489,0.699999988,6.5,2.799999952,11.19999981,5.5,1.899999976,4.199999809,5.5,23.79999924,4.699999809,82.5,16.5,17.89999962,26.79999924,23.89999962,439,0.028849782,37.99369049,8.250320435,44023,42064,40478,39.39141846,9.648048401
Fayette,Alabama,"Fayette County, AL",1057,0.512423277,0.017875232,0.017875232,0.017875232,0.017875232,0.023833642,0.023833642,0.023833642,0.029792052,0.023833642,0.023833642,0.017875232,0.017875232,0.017875232,0.017875232,0.017875232,0.017875232,0,0,0,0.00595841,0.00595841,0.00595841,0.00595841,0.00595841,0.095334567,0,0.095334567,0,0,0,0,0,0,8.399999619,16783,1253,51.79999924,12.23857498,0,0.268128455,0.858011127,5.300000191,5.400000095,1.700000048,10.10000038,8.300000191,1.200000048,3.700000048,3.299999952,23.70000076,3.400000095,79.19999695,14.10000038,16.5,25.70000076,26,-48,0.006792588,29.52912903,3.648384094,37458,36541,36205,34.99791718,9.117172241
Franklin,Alabama,"Franklin County, AL",1059,1.399930358,0.167864949,0.205872104,0.199537575,0.205872104,0.196370319,0.199537575,0.196370319,0.193203047,0.209039375,0.129857793,0.228042945,0.212206632,0.212206632,0.215373889,0.221708417,0.224875689,0.034839895,0.034839895,0.041174423,0.03167263,0.034839895,0.03167263,0.034839895,0.038007159,0.414911449,0.028505368,0.415544868,0.038007159,0.044341683,0.041174423,0.041174423,0.041174423,0.034839895,8.199999809,31573,4321,44,4.060431004,0.741139591,0.32306084,16.01684952,2.200000048,8.5,2.200000048,10.39999962,5.099999905,2.099999905,2.900000095,4.599999905,19.5,3.400000095,75.69999695,12.39999962,19.09999847,26.40000153,21.5,38,0.096569851,40.73536682,16.71058655,40459,39501,36138,26.44179535,2.417015076
Geneva,Alabama,"Geneva County, AL",1061,0.829441428,0.474500269,0.38856715,0.38856715,0.42219317,0.42219317,0.433401823,0.440874279,0.444610506,0.437138051,0.141976461,0.38856715,0.403512061,0.396039605,0.392303377,0.396039605,0.407248259,0.082196899,0.082196899,0.085933119,0.06725201,0.063515782,0.056043342,0.059779562,0.056043342,0.13450402,0.082196899,0.13450402,0.078460678,0.078460678,0.078460678,0.085933119,0.074724451,0.074724451,8.899999619,26765,1623,50.40000153,9.422753334,0.470764041,0.384830952,3.70633316,5.699999809,8.800000191,5.400000095,9.800000191,7.800000191,0.899999976,3.099999905,6.900000095,20.79999924,5.800000191,77.69999695,11.69999981,17,25.79999924,24.79999924,-583,0.014533906,29.62085724,14.72525787,38142,39293,36519,37.59523392,22.69963455
Greene,Alabama,"Greene County, AL",1063,1.001513958,0.838476777,0.733667195,0.745312691,0.768603683,0.733667195,0.687085152,0.710376143,0.698730648,0.733667195,0.174682662,0.756958187,0.791894734,0.768603683,0.710376143,0.80354023,0.780249238,0.174682662,0.174682662,0.15139164,0.13974613,0.128100619,0.104809597,0.093164086,0.13974613,0.279492259,0.209619194,0.311252743,0.13974613,0.186328173,0.197973683,0.174682662,0.163037151,0.174682662,14.80000019,8587,465,36.29999924,81.1808548,0.407592863,0.163037151,0.617212057,2.599999905,7.099999905,0,12.30000019,7.400000095,0.200000003,3.400000095,4.900000095,27.70000076,5.599999905,76.90000153,10,17.39999962,22.29999924,26.20000076,-15,0.000349365,21.43914032,10.60466766,21804,20954,21339,38.5810585,27.74658585
Hale,Alabama,"Hale County, AL",1065,0.587109983,0.343030542,0.303450108,0.296853364,0.316643566,0.303450108,0.290256619,0.290256619,0.303450108,0.290256619,0.065967411,0.376014262,0.369417518,0.349627286,0.336433798,0.395804465,0.395804465,0.065967411,0.065967411,0.079160891,0.05937067,0.065967411,0.072564155,0.085757636,0.072564155,0.079160899,0.04617719,0.072564162,0.065967411,0.065967411,0.05937067,0.072564155,0.079160891,0.072564155,11.69999981,15159,-2780,44.10000229,58.28220749,0.32324031,0.10554786,1.207203627,5.900000095,6.599999905,1.299999952,15.5,3.900000095,0.200000003,3.799999952,7.900000095,26.70000076,3.299999952,81.40000153,14,16.89999962,24.70000076,24.29999924,-211,0.01095059,27.80921173,11.69862366,30571,34679,33351,19.05157471,2.940986633
